name,brand,model,battery_capacity,screen_size,touch_screen,resolution_x,resolution_y,processor,ram,internal_storage,rear_camera,front_camera,operating_system,wi_fi,bluetooth,gps,number_of_sims,3g,4g_lte,price
Intex Cloud 3G Gem,Intex,Cloud 3G Gem,1400,4,Yes,480,800,1,512,4,2,0.3,Android,Yes,Yes,Yes,2,Yes,No,2399
Intex Cloud 3G Candy,Intex,Cloud 3G Candy,1400,4,Yes,480,800,1,256,0.512,2,0.3,Android,Yes,Yes,Yes,2,Yes,No,1999
Lenovo A7000 Turbo,Lenovo,A7000 Turbo,2900,5.5,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,14000
Karbonn K9 Smart,Karbonn,K9 Smart,2300,5,Yes,480,854,4,512,8,3.2,1.3,Android,Yes,Yes,Yes,2,Yes,No,4690
Alcatel Pixi 4 (6),Alcatel,Pixi 4 (6),2580,6,Yes,720,1280,4,1000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,3998
LG K7,LG,K7,2125,5,Yes,480,854,4,1000,8,5,5,Android,Yes,Yes,Yes,1,Yes,No,994
LG K10,LG,K10,2300,5.3,Yes,720,1280,4,1000,8,13,5,Android,Yes,Yes,Yes,1,Yes,No,3994
Intex Cloud Champ,Intex,Cloud Champ,1700,4.5,Yes,480,854,2,512,4,5,2,Android,Yes,Yes,Yes,2,Yes,No,3800
Lava Iris Atom 3,Lava,Iris Atom 3,2000,5,Yes,480,854,4,512,8,5,2,Android,Yes,Yes,Yes,2,Yes,No,2899
Intex Aqua Q7 Pro,Intex,Aqua Q7 Pro,2000,4.5,Yes,480,854,4,1000,8,2,0.3,Android,Yes,Yes,Yes,2,Yes,No,4290
Karbonn Titanium Moghul,Karbonn,Titanium Moghul,2000,5,Yes,540,960,4,1000,8,8,3.2,Android,Yes,Yes,Yes,2,Yes,No,8700
Xolo One HD,Xolo,One HD,2300,5,Yes,720,1280,4,1000,8,8,5,Android,Yes,Yes,Yes,2,Yes,No,7999
Zen Cinemax 2,Zen,Cinemax 2,2900,5.5,Yes,540,960,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,No,3739
Videocon Z55 Krypton,Videocon,Z55 Krypton,2200,5,Yes,720,1280,4,1000,8,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,2950
Intex Aqua Star 4G,Intex,Aqua Star 4G,2000,5,Yes,720,1280,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,Yes,4699
Intex Cloud Cube,Intex,Cloud Cube,2000,4.5,Yes,480,854,4,512,8,2,0.3,Android,Yes,Yes,Yes,2,Yes,No,2199
Kult 10,Kult,10,2350,5,Yes,720,1280,4,3000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,4499
Micromax Canvas Pulse 4G,Micromax,Canvas Pulse 4G,2100,5,Yes,720,1280,8,3000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,4150
Asus ZenPad C 7.0 (Z170MG),Asus,ZenPad C 7.0 (Z170MG),3450,7,No,1024,600,4,1000,8,5,0.3,Android,Yes,Yes,Yes,2,Yes,No,6199
Xiaomi Redmi Note Prime,Xiaomi,Redmi Note Prime,3100,5.5,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,8999
iBall Andi 5.5H Weber,iBall,Andi 5.5H Weber,2200,5.5,Yes,720,1280,4,1000,8,8,5,Android,Yes,Yes,Yes,2,No,No,3999
Micromax Canvas Mega 4G,Micromax,Canvas Mega 4G,2500,5.5,Yes,720,1280,4,3000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,4790
Micromax Canvas Fire 4G+,Micromax,Canvas Fire 4G+,2000,4.7,Yes,720,1280,4,1000,8,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,4990
Gionee P5W,Gionee,P5W,2000,5,Yes,720,1280,8,1000,16,5,2,Android,Yes,Yes,Yes,2,Yes,No,6999
ZTE Blade A1,ZTE,Blade A1,2800,5,Yes,720,1280,8,2000,16,13,8,Android,Yes,Yes,No,2,Yes,No,2900
Panasonic Eluga Mark,Panasonic,Eluga Mark,2500,5.5,Yes,720,1280,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,6990
Samsung Galaxy A7 (2016),Samsung,Galaxy A7 (2016),3300,5.5,Yes,1080,1920,8,3000,16,13,5,Android,Yes,Yes,Yes,1,Yes,Yes,9999
Videocon Z55 Delite,Videocon,Z55 Delite,2200,5,Yes,720,1280,8,1000,8,8,5,Android,Yes,Yes,No,2,Yes,No,6390
Videocon Infinium Z45 Amaze,Videocon,Infinium Z45 Amaze,1600,4.5,Yes,480,854,4,1000,8,2,0.3,Android,Yes,Yes,No,2,Yes,No,2999
Micromax Canvas Pace 4G,Micromax,Canvas Pace 4G,2500,5,Yes,854,480,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,Yes,7499
Lava X10,Lava,X10,2900,5,Yes,720,1280,4,3000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,12000
Intex Cloud Zest,Intex,Cloud Zest,4000,5,Yes,720,1280,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,No,4999
Lava Iris Atom 2X,Lava,Iris Atom 2X,2000,4.5,Yes,480,854,4,1000,8,5,0.3,Android,Yes,Yes,Yes,2,Yes,No,2999
Samsung Galaxy J3 (6),Samsung,Galaxy J3 (6),2600,5,Yes,720,1280,4,1000,8,8,5,Android,Yes,Yes,Yes,1,Yes,Yes,4999
Intex Aqua Air,Intex,Aqua Air,2300,5,Yes,480,854,2,512,8,2,0.3,Android,Yes,Yes,Yes,2,Yes,No,4090
Micromax Canvas Xpress 4G,Micromax,Canvas Xpress 4G,2000,5,Yes,720,1280,4,2000,16,8,2,Android,Yes,Yes,Yes,2,Yes,Yes,4050
Micromax Canvas Blaze 4G+,Micromax,Canvas Blaze 4G+,1750,4.5,Yes,480,854,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,Yes,3799
Intex Aqua Super,Intex,Aqua Super,2150,5,Yes,720,1280,4,3000,16,8,2,Android,Yes,Yes,Yes,2,Yes,Yes,5849
Intex Aqua Wave,Intex,Aqua Wave,1400,4,Yes,480,800,1,256,0.512,0.3,0.3,Android,Yes,Yes,Yes,2,Yes,No,2199
Intex Aqua Q7,Intex,Aqua Q7,2000,4.5,Yes,480,854,4,512,8,2,0.3,Android,Yes,Yes,Yes,2,Yes,No,2199
iBall Andi Sprinter 4G,iBall,Andi Sprinter 4G,2100,5,Yes,480,854,4,1000,8,8,3.2,Android,Yes,Yes,Yes,2,Yes,Yes,4699
Gionee S Plus,Gionee,S Plus,3150,5.5,Yes,720,1280,8,3000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,6490
InFocus M535,InFocus,M535,2600,5.5,Yes,720,1280,4,2000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,6990
HTC Desire 828 Dual SIM,HTC,Desire 828 Dual SIM,2800,5.5,Yes,1080,1920,8,2000,16,13,4,Android,Yes,Yes,Yes,2,Yes,Yes,7999
HTC Desire 728G Dual SIM,HTC,Desire 728G Dual SIM,2800,5.5,Yes,720,1280,8,1000,16,13,5,Android,Yes,Yes,Yes,2,Yes,No,11586
Intex Aqua Young,Intex,Aqua Young,2500,5,Yes,480,854,4,1000,8,5,0.3,Android,Yes,Yes,Yes,2,Yes,No,4900
Intex Aqua Play,Intex,Aqua Play,1400,4,Yes,480,800,2,512,8,0.3,0.3,Android,Yes,Yes,Yes,2,Yes,No,4299
Xolo Black 1X,Xolo,Black 1X,2400,5,Yes,1080,1920,8,3000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,9999
InFocus M260,InFocus,M260,2000,4.5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,No,2490
Karbonn Alfa A91 Power,Karbonn,Alfa A91 Power,2000,4,Yes,480,800,1,256,0.512,2,0.3,Android,Yes,Yes,Yes,2,Yes,No,2599
Oppo Neo 7,Oppo,Neo 7,2420,5,Yes,540,960,4,1000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,8200
Samsung Galaxy On7,Samsung,Galaxy On7,3000,5.5,Yes,720,1280,4,1000,8,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,9977
Micromax Bolt Q332,Micromax,Bolt Q332,2000,5,Yes,480,854,4,512,2,5,2,Android,Yes,Yes,Yes,2,Yes,No,2399
Samsung Galaxy On5,Samsung,Galaxy On5,2600,5,Yes,720,1280,4,1000,8,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,4655
Lenovo A1000,Lenovo,A1000,2000,4,Yes,480,800,4,1000,8,5,0.3,Android,Yes,Yes,Yes,2,Yes,No,3549
Lenovo A6000 Shot,Lenovo,A6000 Shot,2300,5,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,5990
Lava Iris Fuel F1,Lava,Iris Fuel F1,4000,5,Yes,480,854,4,2000,8,8,2,Android,Yes,Yes,Yes,2,Yes,No,8700
Intex Aqua Life III,Intex,Aqua Life III,2000,5,Yes,720,1280,4,1000,8,5,0.3,Android,Yes,Yes,Yes,2,Yes,No,5300
Intex Cloud Swift,Intex,Cloud Swift,2500,5,Yes,720,1280,4,3000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,9300
Zopo Speed 7 Plus,Zopo,Speed 7 Plus,3000,5.5,Yes,1080,1920,8,3000,16,13.2,5,Android,Yes,Yes,Yes,1,Yes,Yes,6499
Micromax Bolt S302,Micromax,Bolt S302,1450,4,Yes,480,800,4,512,4,2,1.3,Android,Yes,Yes,Yes,2,Yes,No,2240
Micromax Bolt Q331,Micromax,Bolt Q331,2000,5,Yes,480,854,4,512,4,5,2,Android,Yes,Yes,Yes,2,Yes,No,2999
Samsung Z3,Samsung,Z3,2600,5,Yes,720,1280,4,1000,8,8,5,Tizen,Yes,Yes,Yes,2,Yes,No,4990
Panasonic P65 Flash,Panasonic,P65 Flash,2910,5.5,Yes,720,1280,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,No,8499
Panasonic P50 Idol,Panasonic,P50 Idol,2150,5,Yes,720,1280,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,No,3899
ZTE Axon Mini,ZTE,Axon Mini,2800,5.2,Yes,1080,1920,8,3000,32,13,8,Android,Yes,Yes,Yes,1,Yes,Yes,5900
iBall Andi 4.5C Magnifico,iBall,Andi 4.5C Magnifico,1700,4.5,Yes,480,854,2,512,8,5,2,Android,Yes,Yes,Yes,2,Yes,No,3840
Microsoft Lumia 550,Microsoft,Lumia 550,2100,4.7,Yes,720,1280,4,1000,8,5,2,Windows,Yes,Yes,Yes,1,Yes,Yes,5398
Microsoft Lumia 950,Microsoft,Lumia 950,3000,5.2,Yes,1440,2560,6,3000,32,20,5,Windows,Yes,Yes,Yes,1,Yes,Yes,41390
Microsoft Lumia 950 XL,Microsoft,Lumia 950 XL,3340,5.7,Yes,1440,2560,8,3000,32,20,5,Windows,Yes,Yes,Yes,1,Yes,Yes,24999
Micromax Bolt Q339,Micromax,Bolt Q339,1650,4.5,Yes,480,854,4,512,4,5,2,Android,Yes,Yes,Yes,2,Yes,No,2999
LG V10,LG,V10,3000,5.7,Yes,1440,2560,6,4000,64,16,5,Android,Yes,Yes,Yes,1,Yes,Yes,14999
Videocon Infinium Z51 Punch,Videocon,Infinium Z51 Punch,3000,5,Yes,480,854,4,1000,1,8,5,Android,Yes,Yes,Yes,2,Yes,No,5399
Videocon Infinium Z51Q Star,Videocon,Infinium Z51Q Star,2000,5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,No,2799
Vivo Y15S,Vivo,Y15S,1900,4.5,Yes,854,480,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,No,4999
Samsung Galaxy J1 Ace,Samsung,Galaxy J1 Ace,1800,4.3,Yes,480,800,2,512,4,5,2,Android,Yes,Yes,Yes,2,Yes,No,4300
Vivo Y27L,Vivo,Y27L,2260,4.7,Yes,720,1280,4,1000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,9001
Micromax Canvas Play 4G,Micromax,Canvas Play 4G,2820,5.5,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,4499
Lava Iris Fuel F1 Mini,Lava,Iris Fuel F1 Mini,2000,4,Yes,480,800,1,512,8,5,0.3,Android,Yes,Yes,Yes,2,Yes,No,2499
Micromax Canvas Blaze 4G,Micromax,Canvas Blaze 4G,2000,4.5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,Yes,3199
Gionee Pioneer P3S,Gionee,Pioneer P3S,2000,4.5,Yes,480,485,4,1000,16,5,0.3,Android,Yes,Yes,Yes,2,Yes,No,3299
Micromax Bolt Q338,Micromax,Bolt Q338,2000,5,Yes,720,1280,4,1000,8,8,5,Android,Yes,Yes,Yes,2,Yes,No,4970
Intex Aqua Power II,Intex,Aqua Power II,4000,5,Yes,720,1280,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,No,5990
Micromax Canvas Juice 3+,Micromax,Canvas Juice 3+,4000,5.5,Yes,720,1280,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,No,5990
Intex Aqua Glam,Intex,Aqua Glam,1850,4.7,Yes,720,1280,4,1000,8,8,8,Android,Yes,Yes,Yes,2,Yes,No,4295
iBall Cobalt Solus 4G,iBall,Cobalt Solus 4G,2000,5,Yes,720,1280,4,2000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,3999
Micromax Canvas Juice 3,Micromax,Canvas Juice 3,4000,5,Yes,720,1280,4,2000,8,8,2,Android,Yes,Yes,Yes,2,Yes,No,4290
HTC Desire 728 Dual SIM,HTC,Desire 728 Dual SIM,2800,5.5,Yes,720,1280,8,2000,16,13,5,Android,Yes,Yes,Yes,2,No,Yes,5999
Lenovo Vibe P1m,Lenovo,Vibe P1m,3900,5,Yes,720,1280,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,6999
Sony Xperia Z5 Premium Dual,Sony,Xperia Z5 Premium Dual,3430,5.5,Yes,2160,3840,8,3000,32,23,5,Android,Yes,Yes,Yes,2,Yes,Yes,57500
Acer Liquid Z530,Acer,Liquid Z530,2420,5,Yes,720,1280,4,2000,16,8,8,Android,Yes,Yes,Yes,1,Yes,Yes,5750
Micromax Canvas Fire 4G,Micromax,Canvas Fire 4G,1850,4.5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,Yes,3999
Intex Cloud V,Intex,Cloud V,2000,5,Yes,480,854,4,512,8,8,2,Android,Yes,Yes,Yes,2,Yes,No,3699
iBall Andi 4.5 O'Buddy,iBall,Andi 4.5 O'Buddy,1800,4.5,Yes,480,854,4,1000,1,8,3.2,Android,Yes,Yes,Yes,2,Yes,No,4995
Videocon Z55 Dash,Videocon,Z55 Dash,2200,5,Yes,720,1280,8,1000,8,8,5,Android,Yes,Yes,Yes,2,Yes,No,5499
Intex Aqua Turbo 4G,Intex,Aqua Turbo 4G,3000,5,Yes,720,1280,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,Yes,5649
Zopo Speed 7,Zopo,Speed 7,2500,5,Yes,1080,1920,8,3000,16,13.2,5,Android,Yes,Yes,Yes,2,Yes,Yes,3990
Panasonic Eluga Switch,Panasonic,Eluga Switch,2910,5.5,Yes,1080,1920,8,2000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,14990
Intex Aqua 3G Neo,Intex,Aqua 3G Neo,1500,4,Yes,480,800,4,512,4,2,0.3,Android,Yes,Yes,Yes,2,Yes,No,2399
Lenovo A2010,Lenovo,A2010,2000,4.5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,Yes,6000
Lava Flair P1i,Lava,Flair P1i,1400,4,Yes,400,800,1,256,0.512,2,0.3,Android,Yes,Yes,No,2,Yes,No,2222
Panasonic T45 4G,Panasonic,T45 4G,1800,4.5,Yes,480,854,4,1000,8,5,0.3,Android,Yes,Yes,Yes,2,Yes,Yes,4650
Panasonic Eluga I2,Panasonic,Eluga I2,2000,5,Yes,720,1280,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,Yes,5830
Panasonic Eluga L2,Panasonic,Eluga L2,2500,5.5,Yes,540,960,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,Yes,3990
Lava Iris Atom 2,Lava,Iris Atom 2,1750,4.5,Yes,854,480,4,512,8,5,0.3,Android,Yes,Yes,No,1,Yes,No,4299
iBall Andi 5U Platino,iBall,Andi 5U Platino,2000,5,Yes,540,960,4,512,8,8,0.3,Android,Yes,Yes,Yes,2,Yes,No,3499
Intex Aqua Sense 5.0,Intex,Aqua Sense 5.0,2000,5,Yes,540,960,4,512,8,5,0.3,Android,Yes,Yes,Yes,2,Yes,No,3899
Philips Xenium S309,Philips,Xenium S309,1600,4,Yes,480,800,2,512,4,5,0.3,Android,Yes,Yes,Yes,1,Yes,No,3199
Intex Cloud Pace,Intex,Cloud Pace,1700,4.5,Yes,540,960,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,No,4499
Blu Win HD LTE,Blu,Win HD LTE,2500,5,Yes,720,1280,4,1000,8,8,2,Windows,Yes,Yes,No,2,Yes,Yes,4500
Intex Aqua Q1+,Intex,Aqua Q1+,1600,4.5,Yes,480,854,4,512,8,5,1.3,Android,Yes,Yes,Yes,2,Yes,No,4449
Intex Aqua Dream II,Intex,Aqua Dream II,2300,5.5,Yes,720,1280,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,No,8200
Asus ZenFone 2 Laser (ZE601KL),Asus,ZenFone 2 Laser (ZE601KL),3000,6,Yes,1080,1920,8,3000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,8999
Intex Cloud 4G Star,Intex,Cloud 4G Star,2300,5,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,No,Yes,5999
Lava Iris X5 4G,Lava,Iris X5 4G,2500,5,Yes,720,1280,4,2000,16,13,8,Android,Yes,Yes,Yes,1,Yes,Yes,6999
Asus ZenFone 2 Laser (ZE500KL),Asus,ZenFone 2 Laser (ZE500KL),2070,5,Yes,720,1280,4,2000,8,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,5990
Sony Xperia M5,Sony,Xperia M5,2600,5,Yes,1080,1920,8,3000,16,21.5,13,Android,Yes,Yes,Yes,1,Yes,Yes,5999
Sony Xperia C5 Ultra,Sony,Xperia C5 Ultra,2930,6,Yes,1080,1920,8,2000,16,13,13,Android,Yes,Yes,Yes,1,Yes,Yes,25990
Lava Iris X1 Selfie,Lava,Iris X1 Selfie,2000,4.5,Yes,854,480,4,1000,8,8,5,Android,Yes,Yes,Yes,2,Yes,No,2999
InFocus M808,InFocus,M808,2450,5.2,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,No,1,Yes,Yes,4490
Panasonic Love T10,Panasonic,Love T10,1400,3.5,Yes,480,800,2,512,4,2,0.3,Android,Yes,Yes,No,2,Yes,No,2000
iBall Andi HD6,iBall,Andi HD6,3000,6,Yes,720,1280,4,1000,8,8,5,Android,Yes,Yes,No,2,Yes,No,5000
Lava Flair Z1,Lava,Flair Z1,2000,5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,No,2999
Intex Aqua Y2 Power,Intex,Aqua Y2 Power,2900,4,Yes,480,800,4,512,4,5,2,Android,Yes,Yes,Yes,2,Yes,No,4050
LG Max,LG,Max,2540,5,Yes,480,854,4,1000,8,8,5,Android,Yes,Yes,Yes,2,Yes,No,3999
Karbonn Titanium Mach One Plus,Karbonn,Titanium Mach One Plus,1800,4.7,Yes,720,1280,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,No,3990
Panasonic T33,Panasonic,T33,1500,4,Yes,480,800,4,512,4,3,0.3,Android,Yes,Yes,Yes,2,Yes,No,2990
iBall Andi 3.5V Genius2,iBall,Andi 3.5V Genius2,1250,3.5,Yes,320,480,1,256,0.512,2,0.3,Android,Yes,Yes,Yes,2,Yes,No,2499
Spice XLife 406,Spice,XLife 406,1450,4,Yes,480,800,1,512,4,3.2,1.3,Android,Yes,Yes,Yes,2,Yes,No,3500
Micromax Bolt D303,Micromax,Bolt D303,1300,4,Yes,480,800,2,512,4,3.2,0.3,Android,Yes,Yes,Yes,2,Yes,No,2984
Vivo V1,Vivo,V1,2300,5,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,15300
Panasonic Eluga Z,Panasonic,Eluga Z,2050,5,Yes,720,1280,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,No,5529
Xolo Era,Xolo,Era,2100,5,Yes,854,480,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,No,3699
Intex Aqua Y2 Ultra,Intex,Aqua Y2 Ultra,1400,4,Yes,480,800,4,1000,8,5,0.3,Android,Yes,Yes,Yes,2,Yes,No,3599
Intex Aqua A2,Intex,Aqua A2,1500,4,Yes,480,800,4,512,8,5,0.3,Android,Yes,Yes,Yes,2,Yes,No,2599
Videocon Infinium Z51 Nova+,Videocon,Infinium Z51 Nova+,2000,5,Yes,480,854,4,1000,8,8,5,Android,Yes,Yes,Yes,2,Yes,No,2940
Intex Aqua Y4,Intex,Aqua Y4,1700,4.5,Yes,480,854,2,512,4,5,2,Android,Yes,Yes,No,2,Yes,No,2999
iBall Andi4 B20,iBall,Andi4 B20,1250,4,Yes,480,800,1,256,0.512,2,0.3,Android,Yes,Yes,Yes,2,Yes,No,2498
iBall Andi Avonte 5,iBall,Andi Avonte 5,2150,5,Yes,480,854,4,1000,8,8,0,Android,Yes,Yes,Yes,2,Yes,No,3999
