name,brand,model,battery_capacity,screen_size,touch_screen,resolution_x,resolution_y,processor,ram,internal_storage,rear_camera,front_camera,operating_system,wi_fi,bluetooth,gps,number_of_sims,3g,4g_lte,price
Karbonn A91 Storm,Karbonn,A91 Storm,2200,4,Yes,480,800,4,512,4,2,0.3,Android,Yes,Yes,Yes,2,Yes,No,1999
Vivo X7,Vivo,X7,3000,5.2,Yes,1080,1920,8,4000,64,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,9999
iBall Andi 5G Blink 4G,iBall,Andi 5G Blink 4G,2300,5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,Yes,4890
Nubia Z11,Nubia,Z11,3000,5.5,Yes,1080,1920,4,6000,64,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,20999
Lyf Earth 2,Lyf,Earth 2,2500,5,Yes,1080,1920,8,3000,32,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,6990
Intex Aqua Classic,Intex,Aqua Classic,2100,5,Yes,480,854,4,1000,8,5,0.3,Android,Yes,Yes,Yes,2,Yes,No,4790
Micromax Canvas Fire 5,Micromax,Canvas Fire 5,2500,5.5,Yes,720,1280,4,1000,16,8,5,Android,Yes,Yes,Yes,2,Yes,No,7389
Oppo A37,Oppo,A37,2630,5,Yes,720,1280,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,8666
Intex Aqua Sense 5.1,Intex,Aqua Sense 5.1,2500,5,Yes,480,854,4,512,8,2,0.3,Android,Yes,Yes,Yes,2,Yes,No,2658
Panasonic P75,Panasonic,P75,5000,5,Yes,720,1280,4,1000,8,8,5,Android,Yes,Yes,Yes,2,Yes,No,5499
Xiaomi Redmi 3S,Xiaomi,Redmi 3S,4100,5,Yes,720,1280,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,6500
Intex Aqua View,Intex,Aqua View,2200,5,Yes,720,1280,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,4899
Lyf Water 7,Lyf,Water 7,3000,5.5,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,494
Lyf Wind 1,Lyf,Wind 1,2300,5,Yes,720,1280,4,1000,8,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,7000
Panasonic T44,Panasonic,T44,2400,4,Yes,480,800,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,No,3590
Panasonic T30,Panasonic,T30,1400,4,Yes,480,800,4,512,4,5,2,Android,Yes,Yes,Yes,2,Yes,No,2488
Lenovo Phab 2,Lenovo,Phab 2,4050,6.4,Yes,720,1280,4,3000,32,13,5,Android,Yes,Yes,Yes,1,Yes,Yes,8999
Lenovo Phab 2 Pro,Lenovo,Phab 2 Pro,4050,6.4,Yes,1440,2560,8,4000,64,16,8,Android,Yes,Yes,Yes,1,Yes,Yes,22999
Lava X81,Lava,X81,2700,5,Yes,720,1280,4,3000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,4999
Lyf Wind 5,Lyf,Wind 5,2000,5,Yes,720,1280,4,1000,8,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,8399
Lava X46,Lava,X46,2500,5,Yes,720,1280,4,2000,8,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,9700
Intex Cloud Glory 4G,Intex,Cloud Glory 4G,1800,4.5,Yes,480,584,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,Yes,4499
Samsung Galaxy J3 Pro,Samsung,Galaxy J3 Pro,2600,5,Yes,720,1280,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,8299
Lyf Flame 6,Lyf,Flame 6,1750,4,Yes,480,800,4,512,4,2,2,Android,Yes,Yes,No,2,Yes,Yes,1999
Swipe Elite Plus,Swipe,Elite Plus,3050,5,Yes,1080,1920,8,2000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,2999
Lava A82,Lava,A82,2000,5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,No,8999
Intex Aqua Shine 4G,Intex,Aqua Shine 4G,3000,5,Yes,720,1280,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,4500
LG Stylus 2 Plus,LG,Stylus 2 Plus,3000,5.7,Yes,1080,1920,8,3000,16,16,8,Android,Yes,Yes,Yes,1,Yes,Yes,8999
LG X Power,LG,X Power,4100,5.3,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,6999
Lyf Flame 4,Lyf,Flame 4,1400,4,Yes,480,800,4,512,8,2,0.3,Android,Yes,Yes,No,2,Yes,Yes,4199
Zen Admire SXY,Zen,Admire SXY,1800,4.5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,No,2639
Lava A59,Lava,A59,1750,4.5,Yes,480,800,4,512,4,5,0.3,Android,Yes,Yes,No,2,Yes,No,4199
Lava A48,Lava,A48,1300,4,Yes,480,800,4,512,4,2,0.3,Android,Yes,Yes,No,2,Yes,No,2399
Panasonic Eluga A2,Panasonic,Eluga A2,4000,5,Yes,720,1280,4,3000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,5430
Lava A79,Lava,A79,2200,5.5,Yes,480,800,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,No,4200
Micromax Canvas Selfie 4,Micromax,Canvas Selfie 4,2500,5,Yes,720,1280,4,1000,8,8,8,Android,Yes,Yes,Yes,2,Yes,No,5970
Micromax Bolt Selfie,Micromax,Bolt Selfie,1750,4.5,Yes,480,854,4,1000,8,5,5,Android,Yes,Yes,Yes,2,Yes,Yes,4299
Intex Cloud String HD,Intex,Cloud String HD,2200,5,Yes,720,1280,4,1000,8,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,4999
Intex Aqua Secure,Intex,Aqua Secure,1900,4.5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,Yes,4866
Motorola Moto G4 Play,Motorola,Moto G4 Play,2800,5,Yes,720,1280,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,6990
Sony Xperia XA Ultra,Sony,Xperia XA Ultra,2700,6,Yes,1080,1920,8,3000,16,21.5,16,Android,Yes,Yes,Yes,1,Yes,Yes,7999
Lenovo Vibe C,Lenovo,Vibe C,2300,5,Yes,720,1280,4,1000,8,5,2,Android,Yes,Yes,Yes,1,Yes,Yes,4500
HTC Desire 628 Dual SIM,HTC,Desire 628 Dual SIM,2200,5,Yes,720,1280,8,3000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,6498
Lyf Wind 4,Lyf,Wind 4,4000,5,Yes,720,1280,4,1000,8,8,2,Android,Yes,Yes,Yes,2,Yes,Yes,5999
Lyf Flame 2,Lyf,Flame 2,1500,4,Yes,480,800,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,Yes,3599
Lava A67,Lava,A67,2000,5,Yes,480,800,4,512,4,5,2,Android,Yes,Yes,Yes,2,Yes,No,3399
Micromax Canvas XP 4G,Micromax,Canvas XP 4G,2000,5,Yes,720,1280,4,3000,16,8,2,Android,No,No,No,2,Yes,Yes,4595
Intex Cloud Fame,Intex,Cloud Fame,1800,4.5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,No,2,Yes,Yes,3949
Intex Aqua Joy,Intex,Aqua Joy,1450,4,Yes,480,800,4,512,4,0.3,0.3,Android,Yes,Yes,Yes,2,Yes,No,2666
HTC Desire 830,HTC,Desire 830,2800,5.5,Yes,1080,1920,8,3000,32,13,4,Android,Yes,Yes,No,1,Yes,Yes,7999
Micromax Canvas Mega 2,Micromax,Canvas Mega 2,3000,6,Yes,540,960,4,1000,8,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,7530
iBall Andi 5N Dude,iBall,Andi 5N Dude,2000,5,Yes,480,854,4,512,4,5,0.3,Android,Yes,Yes,Yes,2,Yes,No,1999
Honor 5C,Honor,5C,3000,5.2,Yes,1080,1920,8,2000,16,13,8,Android,Yes,Yes,Yes,2,Yes,No,9999
Panasonic Eluga I3,Panasonic,Eluga I3,2700,5.5,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,5549
